t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=773e501fdf06 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=4fcc3f7c3a55 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=20d999a14d67 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=5b78a9074a5e l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=247aad7069a7 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=f45dc292b7af l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=1d05337e750c l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=0fb869d97d74 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=ceb5d061e16f l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=d009673dcd1d l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:21-0300 lvl=warn msg="failed to open private leg" id=b9b13bb63db6 privaddr=localhost:8080 err="dial tcp [::1]:8080: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:25:21-0300 lvl=warn msg="failed to open private leg" id=6072340caec6 privaddr=localhost:8080 err="dial tcp [::1]:8080: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:25:21-0300 lvl=info msg="join connections" obj=join id=0784149f98a2 l=127.0.0.1:8080 r=189.110.27.5:50927
t=2023-10-17T17:25:21-0300 lvl=info msg="join connections" obj=join id=6e68360e2a4f l=127.0.0.1:8080 r=189.110.27.5:50927
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=255a2821cb0a l=[::1]:80 r=189.110.27.5:44256
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=b6286cc481a0 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=31b2c6773694 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=b164a242266c l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=0c92ab577065 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=85f23b19d191 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=5b219ca3963a l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=10dd5c55c8e9 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=1f86f3556624 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=1b93586787c0 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=743fd39ef556 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=134444f5e871 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=6952b0c3d997 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=f7b55886b602 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=6ed47ce2ab93 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=4204c129b42e l=[::1]:80 r=189.110.27.5:44268
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=5c32b323d872 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=57a16b898066 l=[::1]:80 r=189.110.27.5:44264
t=2023-10-17T17:25:59-0300 lvl=info msg="join connections" obj=join id=1e46e06f5f05 l=[::1]:80 r=189.110.27.5:44264
